416s:  ts: 1461891919 rate=10061 iops
418s:  ts: 1461891921 rate=9820 iops
420s:  ts: 1461891923 rate=15260 iops
422s:  ts: 1461891925 rate=11127 iops
424s:  ts: 1461891927 rate=13234 iops
426s:  ts: 1461891929 rate=8156 iops
428s:  ts: 1461891931 rate=12391 iops
430s:  ts: 1461891933 rate=15298 iops
432s:  ts: 1461891935 rate=15454 iops
434s:  ts: 1461891937 rate=6031 iops
436s:  ts: 1461891939 rate=10594 iops
438s:  ts: 1461891941 rate=14912 iops
440s:  ts: 1461891943 rate=15050 iops
442s:  ts: 1461891945 rate=12215 iops
444s:  ts: 1461891947 rate=7831 iops
446s:  ts: 1461891949 rate=12211 iops
448s:  ts: 1461891951 rate=13306 iops
450s:  ts: 1461891953 rate=15379 iops
452s:  ts: 1461891955 rate=10300 iops
454s:  ts: 1461891957 rate=11053 iops
456s:  ts: 1461891959 rate=10035 iops
458s:  ts: 1461891961 rate=13775 iops
460s:  ts: 1461891963 rate=15147 iops
462s:  ts: 1461891965 rate=15043 iops
464s:  ts: 1461891967 rate=6324 iops
466s:  ts: 1461891969 rate=11200 iops
468s:  ts: 1461891971 rate=13915 iops
470s:  ts: 1461891973 rate=14896 iops
472s:  ts: 1461891975 rate=13111 iops
474s:  ts: 1461891977 rate=7829 iops
476s:  ts: 1461891979 rate=10070 iops
478s:  ts: 1461891981 rate=14751 iops
480s:  ts: 1461891983 rate=14977 iops
482s:  ts: 1461891985 rate=10733 iops
484s:  ts: 1461891987 rate=11404 iops
486s:  ts: 1461891989 rate=9273 iops
488s:  ts: 1461891991 rate=13580 iops
490s:  ts: 1461891993 rate=15716 iops
492s:  ts: 1461891995 rate=15750 iops
494s:  ts: 1461891997 rate=7056 iops
496s:  ts: 1461891999 rate=9516 iops
498s:  ts: 1461892001 rate=12874 iops
500s:  ts: 1461892003 rate=15454 iops
502s:  ts: 1461892005 rate=13836 iops
504s:  ts: 1461892007 rate=5392 iops
506s:  ts: 1461892009 rate=11694 iops
508s:  ts: 1461892011 rate=13576 iops
510s:  ts: 1461892013 rate=15437 iops
512s:  ts: 1461892015 rate=10337 iops
514s:  ts: 1461892017 rate=9750 iops
516s:  ts: 1461892019 rate=10885 iops
518s:  ts: 1461892021 rate=14344 iops
520s:  ts: 1461892023 rate=15751 iops
522s:  ts: 1461892025 rate=13086 iops
524s:  ts: 1461892027 rate=5899 iops
526s:  ts: 1461892029 rate=9326 iops
528s:  ts: 1461892031 rate=15184 iops
530s:  ts: 1461892033 rate=14632 iops
532s:  ts: 1461892035 rate=10469 iops
534s:  ts: 1461892037 rate=7293 iops
536s:  ts: 1461892039 rate=11856 iops
538s:  ts: 1461892041 rate=15389 iops
540s:  ts: 1461892043 rate=14682 iops
542s:  ts: 1461892045 rate=9353 iops
544s:  ts: 1461892047 rate=9441 iops
546s:  ts: 1461892049 rate=10300 iops
548s:  ts: 1461892051 rate=16059 iops
550s:  ts: 1461892053 rate=15323 iops
552s:  ts: 1461892055 rate=14128 iops
554s:  ts: 1461892057 rate=8740 iops
556s:  ts: 1461892059 rate=8565 iops
558s:  ts: 1461892061 rate=13173 iops
560s:  ts: 1461892063 rate=14097 iops
562s:  ts: 1461892065 rate=15028 iops
564s:  ts: 1461892067 rate=13193 iops
566s:  ts: 1461892069 rate=9007 iops
568s:  ts: 1461892071 rate=7969 iops
570s:  ts: 1461892073 rate=13054 iops
572s:  ts: 1461892075 rate=15029 iops
574s:  ts: 1461892077 rate=14810 iops
576s:  ts: 1461892079 rate=10283 iops
578s:  ts: 1461892081 rate=9583 iops
580s:  ts: 1461892083 rate=9105 iops
582s:  ts: 1461892085 rate=15509 iops
584s:  ts: 1461892087 rate=14367 iops
586s:  ts: 1461892089 rate=14697 iops
588s:  ts: 1461892091 rate=8905 iops
590s:  ts: 1461892093 rate=7086 iops
592s:  ts: 1461892095 rate=12306 iops
594s:  ts: 1461892097 rate=15279 iops
596s:  ts: 1461892099 rate=14811 iops
598s:  ts: 1461892101 rate=12316 iops
600s:  ts: 1461892103 rate=8419 iops
602s:  ts: 1461892105 rate=8749 iops
604s:  ts: 1461892107 rate=13262 iops
606s:  ts: 1461892109 rate=15083 iops
608s:  ts: 1461892111 rate=15727 iops
610s:  ts: 1461892113 rate=5924 iops
612s:  ts: 1461892115 rate=8812 iops
614s:  ts: 1461892117 rate=11921 iops
616s:  ts: 1461892119 rate=16057 iops
618s:  ts: 1461892121 rate=15234 iops
620s:  ts: 1461892123 rate=5365 iops
622s:  ts: 1461892125 rate=9584 iops
624s:  ts: 1461892127 rate=11431 iops
626s:  ts: 1461892129 rate=14842 iops
628s:  ts: 1461892131 rate=15264 iops
630s:  ts: 1461892133 rate=5329 iops
632s:  ts: 1461892135 rate=10449 iops
634s:  ts: 1461892137 rate=12638 iops
636s:  ts: 1461892139 rate=15624 iops
638s:  ts: 1461892141 rate=13384 iops
640s:  ts: 1461892143 rate=7073 iops
642s:  ts: 1461892145 rate=9757 iops
644s:  ts: 1461892147 rate=12995 iops
