1036s:  ts: 1461904069 rate=3426 iops
1038s:  ts: 1461904071 rate=4232 iops
1040s:  ts: 1461904073 rate=3922 iops
1042s:  ts: 1461904075 rate=3982 iops
1044s:  ts: 1461904077 rate=4266 iops
1046s:  ts: 1461904079 rate=3453 iops
1048s:  ts: 1461904081 rate=4189 iops
1050s:  ts: 1461904083 rate=4206 iops
1052s:  ts: 1461904085 rate=3393 iops
1054s:  ts: 1461904087 rate=4253 iops
1056s:  ts: 1461904089 rate=4172 iops
1058s:  ts: 1461904091 rate=3288 iops
1060s:  ts: 1461904093 rate=4279 iops
1062s:  ts: 1461904095 rate=4066 iops
1064s:  ts: 1461904097 rate=3148 iops
1066s:  ts: 1461904099 rate=3735 iops
1068s:  ts: 1461904101 rate=4391 iops
1070s:  ts: 1461904103 rate=3324 iops
1072s:  ts: 1461904105 rate=4323 iops
1074s:  ts: 1461904107 rate=4131 iops
1076s:  ts: 1461904109 rate=3527 iops
1078s:  ts: 1461904111 rate=4152 iops
1080s:  ts: 1461904113 rate=4230 iops
1082s:  ts: 1461904115 rate=3535 iops
1084s:  ts: 1461904117 rate=4234 iops
1086s:  ts: 1461904119 rate=3769 iops
1088s:  ts: 1461904121 rate=4011 iops
1090s:  ts: 1461904123 rate=4171 iops
1092s:  ts: 1461904125 rate=3631 iops
1094s:  ts: 1461904127 rate=4253 iops
1096s:  ts: 1461904129 rate=3568 iops
1098s:  ts: 1461904131 rate=3342 iops
1100s:  ts: 1461904133 rate=4345 iops
1102s:  ts: 1461904135 rate=4500 iops
1104s:  ts: 1461904137 rate=3349 iops
1106s:  ts: 1461904139 rate=4216 iops
1108s:  ts: 1461904141 rate=4248 iops
1110s:  ts: 1461904143 rate=3302 iops
1112s:  ts: 1461904145 rate=4341 iops
1114s:  ts: 1461904147 rate=4254 iops
1116s:  ts: 1461904149 rate=3258 iops
1118s:  ts: 1461904151 rate=4058 iops
1120s:  ts: 1461904153 rate=4323 iops
1122s:  ts: 1461904155 rate=3326 iops
1124s:  ts: 1461904157 rate=4187 iops
1126s:  ts: 1461904159 rate=3501 iops
1128s:  ts: 1461904161 rate=3316 iops
1130s:  ts: 1461904163 rate=4338 iops
1132s:  ts: 1461904165 rate=4081 iops
1134s:  ts: 1461904167 rate=3464 iops
1136s:  ts: 1461904169 rate=4331 iops
1138s:  ts: 1461904171 rate=3979 iops
1140s:  ts: 1461904173 rate=3655 iops
1142s:  ts: 1461904175 rate=4504 iops
1144s:  ts: 1461904177 rate=3676 iops
1146s:  ts: 1461904179 rate=3775 iops
1148s:  ts: 1461904181 rate=4487 iops
1150s:  ts: 1461904183 rate=3074 iops
1152s:  ts: 1461904185 rate=4304 iops
1154s:  ts: 1461904187 rate=4182 iops
1156s:  ts: 1461904189 rate=2767 iops
1158s:  ts: 1461904191 rate=4248 iops
1160s:  ts: 1461904193 rate=4394 iops
1162s:  ts: 1461904195 rate=3196 iops
1164s:  ts: 1461904197 rate=4283 iops
1166s:  ts: 1461904199 rate=4056 iops
1168s:  ts: 1461904201 rate=3318 iops
1170s:  ts: 1461904203 rate=4163 iops
1172s:  ts: 1461904205 rate=4185 iops
1174s:  ts: 1461904207 rate=3242 iops
1176s:  ts: 1461904209 rate=4112 iops
1178s:  ts: 1461904211 rate=4264 iops
1180s:  ts: 1461904213 rate=3101 iops
1182s:  ts: 1461904215 rate=4281 iops
1184s:  ts: 1461904217 rate=4179 iops
1186s:  ts: 1461904219 rate=2553 iops
1188s:  ts: 1461904221 rate=4443 iops
1190s:  ts: 1461904223 rate=3948 iops
1192s:  ts: 1461904225 rate=3642 iops
1194s:  ts: 1461904227 rate=4237 iops
1196s:  ts: 1461904229 rate=3528 iops
1198s:  ts: 1461904231 rate=3873 iops
1200s:  ts: 1461904233 rate=4114 iops
1202s:  ts: 1461904235 rate=3578 iops
1204s:  ts: 1461904237 rate=4070 iops
1206s:  ts: 1461904239 rate=3968 iops
1208s:  ts: 1461904241 rate=3600 iops
1210s:  ts: 1461904243 rate=3966 iops
1212s:  ts: 1461904245 rate=4244 iops
1214s:  ts: 1461904247 rate=3093 iops
1216s:  ts: 1461904249 rate=3480 iops
1218s:  ts: 1461904251 rate=4198 iops
1220s:  ts: 1461904253 rate=3167 iops
1222s:  ts: 1461904255 rate=4184 iops
1224s:  ts: 1461904257 rate=4347 iops
1226s:  ts: 1461904259 rate=3389 iops
1228s:  ts: 1461904261 rate=4292 iops
1230s:  ts: 1461904263 rate=4188 iops
1232s:  ts: 1461904265 rate=3373 iops
1234s:  ts: 1461904267 rate=4070 iops
1236s:  ts: 1461904269 rate=4378 iops
1238s:  ts: 1461904271 rate=3277 iops
1240s:  ts: 1461904273 rate=4103 iops
1242s:  ts: 1461904275 rate=4543 iops
1244s:  ts: 1461904277 rate=3165 iops
1246s:  ts: 1461904279 rate=3628 iops
1248s:  ts: 1461904281 rate=4562 iops
1250s:  ts: 1461904283 rate=3051 iops
1252s:  ts: 1461904285 rate=4378 iops
1254s:  ts: 1461904287 rate=4210 iops
1256s:  ts: 1461904289 rate=3282 iops
1258s:  ts: 1461904291 rate=4420 iops
1260s:  ts: 1461904293 rate=4060 iops
